,fecha,cielo,temp._(°c),sen._térmica_(°c),racha_máx._(km/h),precipitación_(mm),nieve_(mm),humedad_relativa_(%),prob._precip.__(%),prob._de_nieve_(%),prob._de_tormenta_(%),avisos,dirección_viento,velocidad_del_viento,localizacion_id
102,2024-08-30 02:00:00,5,13,13,15.0,0.0,0,88,20,0,20,Sin riesgo,NO,3,28001
103,2024-08-30 03:00:00,5,12,12,13.0,0.0,0,89,20,0,20,Sin riesgo,NO,8,28001
104,2024-08-30 04:00:00,5,12,12,11.0,0.0,0,93,20,0,20,Sin riesgo,NO,7,28001
105,2024-08-30 05:00:00,5,12,12,9.0,0.0,0,95,20,0,20,Sin riesgo,NO,6,28001
106,2024-08-30 06:00:00,5,12,12,8.0,0.0,0,95,Riesgo,0,20,Sin riesgo,NO,5,28001
107,2024-08-30 07:00:00,1,12,12,8.0,0.0,0,95,Riesgo,0,20,Sin riesgo,NO,4,28001
108,2024-08-30 08:00:00,4,11,11,8.0,0.0,0,100,90,0,65,Riesgo,NO,4,28001
109,2024-08-30 09:00:00,4,15,15,14.0,0.0,0,93,Riesgo,0,65,Riesgo,O,3,28001
110,2024-08-30 10:00:00,7,18,18,23.0,0.0,0,77,Riesgo,0,65,Riesgo,SE,5,28001
111,2024-08-30 11:00:00,9,21,21,25.0,9.0,0,71,Riesgo,0,65,Riesgo,E,10,28001
112,2024-08-30 12:00:00,9,23,23,29.0,5.0,0,71,Riesgo,0,65,Riesgo,SE,9,28001
113,2024-08-30 13:00:00,9,25,25,23.0,3.0,0,54,Riesgo,0,65,Riesgo,S,12,28001
114,2024-08-30 14:00:00,6,27,27,8.0,0.2,0,42,80,0,65,Riesgo,N,11,28001
115,2024-08-30 15:00:00,1,27,27,15.0,0.0,0,45,Riesgo,0,65,Riesgo,S,3,28001
116,2024-08-30 16:00:00,0,27,27,15.0,0.0,0,44,Riesgo,0,65,Sin riesgo,SE,6,28001
117,2024-08-30 17:00:00,0,28,28,20.0,0.0,0,41,Riesgo,0,65,Sin riesgo,E,5,28001
118,2024-08-30 18:00:00,5,26,26,16.0,0.0,0,39,Riesgo,0,65,Sin riesgo,SE,8,28001
119,2024-08-30 19:00:00,5,25,25,11.0,0.0,0,43,Riesgo,0,65,Sin riesgo,E,7,28001
120,2024-08-30 20:00:00,5,24,24,12.0,0.0,0,48,25,0,25,Sin riesgo,E,3,28001
121,2024-08-30 21:00:00,5,21,21,9.0,0.0,0,55,25,0,25,Sin riesgo,NO,7,28001
122,2024-08-30 22:00:00,5,19,19,11.0,0.0,0,67,25,0,25,Sin riesgo,NO,5,28001
123,2024-08-30 23:00:00,3,16,16,10.0,0.0,0,77,25,0,25,Sin riesgo,NO,6,28001
124,2024-08-31 00:00:00,7,15,15,9.0,0.0,0,81,25,0,25,Sin riesgo,NO,6,28001
125,2024-08-31 01:00:00,5,14,14,15.0,0.0,0,85,25,0,25,Sin riesgo,NO,4,28001
126,2024-08-31 02:00:00,5,13,13,10.0,0.0,0,93,0,0,0,Sin riesgo,N,7,28001
127,2024-08-31 03:00:00,5,12,12,11.0,0.0,0,90,0,0,0,Sin riesgo,N,5,28001
128,2024-08-31 04:00:00,5,11,11,11.0,0.0,0,93,0,0,0,Sin riesgo,N,6,28001
129,2024-08-31 05:00:00,4,12,12,14.0,0.0,0,91,0,0,0,Sin riesgo,N,5,28001
130,2024-08-31 06:00:00,5,12,12,13.0,0.0,0,89,0,0,0,Sin riesgo,NO,7,28001
131,2024-08-31 07:00:00,0,12,12,10.0,0.0,0,86,0,0,0,Sin riesgo,O,7,28001
132,2024-08-29 12:00:00,8,25,25,16.0,0.1,0,55,65,0,60,Riesgo,E,8,28001
133,2024-08-29 13:00:00,6,27,27,16.0,0.1,0,48,Riesgo,0,60,Riesgo,E,6,28001
134,2024-08-29 14:00:00,0,28,28,18.0,0.0,0,42,85,0,70,Riesgo,S,7,28001
135,2024-08-29 15:00:00,7,28,28,22.0,0.0,0,40,Riesgo,0,70,Riesgo,S,7,28001
136,2024-08-29 16:00:00,0,29,29,39.0,0.0,0,37,Riesgo,0,70,Riesgo,S,11,28001
137,2024-08-29 17:00:00,8,29,29,58.0,1.0,0,38,Riesgo,0,70,Riesgo,SE,17,28001
138,2024-08-29 18:00:00,6,27,29,25.0,0.4,0,67,Riesgo,0,70,Riesgo,NO,20,28001
139,2024-08-29 19:00:00,1,25,25,17.0,0.0,0,72,Riesgo,0,70,Riesgo,E,17,28001
140,2024-08-29 20:00:00,6,23,23,15.0,0.1,0,87,55,0,55,Riesgo,N,12,28001
141,2024-08-29 21:00:00,5,21,21,19.0,0.0,0,88,Riesgo,0,55,Riesgo,N,9,28001
142,2024-08-29 22:00:00,5,19,19,22.0,0.0,0,99,Riesgo,0,55,Riesgo,NE,13,28001
143,2024-08-29 23:00:00,13,19,19,19.0,0.1,0,82,Riesgo,0,55,Riesgo,NE,14,28001
144,2024-08-30 00:00:00,1,19,19,17.0,0.0,0,86,Riesgo,0,55,Sin riesgo,NE,12,28001
145,2024-08-30 01:00:00,5,19,19,19.0,0.0,0,93,Riesgo,0,55,Sin riesgo,N,12,28001
146,2024-08-30 02:00:00,0,18,18,21.0,0.0,0,94,0,0,0,Sin riesgo,NE,13,28001
147,2024-08-30 03:00:00,7,18,18,24.0,0.0,0,94,0,0,0,Sin riesgo,NE,15,28001
148,2024-08-30 04:00:00,1,18,18,26.0,0.0,0,90,0,0,0,Sin riesgo,NE,17,28001
149,2024-08-30 05:00:00,4,18,18,26.0,0.0,0,92,0,0,0,Sin riesgo,NE,18,28001
150,2024-08-30 06:00:00,1,18,18,23.0,0.0,0,94,Riesgo,0,0,Sin riesgo,NE,18,28001
151,2024-08-30 07:00:00,3,18,18,24.0,0.0,0,95,Riesgo,0,0,Sin riesgo,NE,16,28001
152,2024-08-30 08:00:00,1,18,18,22.0,0.0,0,97,10,0,10,Riesgo,NE,17,28001
153,2024-08-30 09:00:00,7,20,20,27.0,0.0,0,90,Riesgo,0,10,Riesgo,NE,14,28001
154,2024-08-30 10:00:00,7,22,22,32.0,0.0,0,81,Riesgo,0,10,Riesgo,E,18,28001
155,2024-08-30 11:00:00,1,24,24,33.0,0.0,0,78,Riesgo,0,10,Riesgo,SE,22,28001
156,2024-08-30 12:00:00,0,25,25,26.0,0.0,0,64,Riesgo,0,10,Riesgo,E,17,28001
157,2024-08-30 13:00:00,0,27,28,28.0,0.0,0,63,Riesgo,0,10,Riesgo,NE,18,28001
158,2024-08-30 14:00:00,3,28,29,36.0,0.0,0,57,45,0,45,Riesgo,NE,16,28001
159,2024-08-30 15:00:00,3,29,30,32.0,0.0,0,56,Riesgo,0,45,Riesgo,NE,24,28001
160,2024-08-30 16:00:00,3,30,31,24.0,0.0,0,50,Riesgo,0,45,Sin riesgo,NE,20,28001
161,2024-08-30 17:00:00,5,31,32,21.0,0.0,0,49,Riesgo,0,45,Sin riesgo,NE,16,28001
162,2024-08-30 18:00:00,4,30,32,17.0,0.0,0,56,Riesgo,0,45,Sin riesgo,NE,14,28001
163,2024-08-30 19:00:00,0,29,31,17.0,0.0,0,62,Riesgo,0,45,Sin riesgo,NE,10,28001
164,2024-08-30 20:00:00,3,28,30,15.0,0.0,0,67,5,0,5,Sin riesgo,NE,12,28001
165,2024-08-30 21:00:00,0,26,26,20.0,0.0,0,73,5,0,5,Sin riesgo,NE,11,28001
166,2024-08-30 22:00:00,0,24,24,15.0,0.0,0,80,5,0,5,Sin riesgo,NE,14,28001
167,2024-08-30 23:00:00,5,21,21,14.0,0.0,0,90,5,0,5,Sin riesgo,NE,10,28001
168,2024-08-31 00:00:00,5,21,21,15.0,0.0,0,91,5,0,5,Sin riesgo,NE,10,28001
169,2024-08-31 01:00:00,1,21,21,17.0,0.0,0,89,5,0,5,Sin riesgo,E,11,28001
170,2024-08-31 02:00:00,5,21,21,18.0,0.0,0,84,5,0,5,Sin riesgo,E,12,28001
171,2024-08-31 03:00:00,3,20,20,19.0,0.0,0,86,5,0,5,Sin riesgo,E,11,28001
172,2024-08-31 04:00:00,1,19,19,13.0,0.0,0,85,5,0,5,Sin riesgo,NE,13,28001
173,2024-08-31 05:00:00,5,19,19,12.0,0.0,0,87,5,0,5,Sin riesgo,NE,8,28001
174,2024-08-31 06:00:00,4,19,19,10.0,0.0,0,90,5,0,5,Sin riesgo,N,8,28001
175,2024-08-31 07:00:00,0,18,18,8.0,0.0,0,90,5,0,5,Sin riesgo,NE,6,28001
176,2024-08-29 12:00:00,14,25,25,18.0,0.1,0,61,100,0,75,Riesgo,SE,8,28001
177,2024-08-29 13:00:00,6,27,28,18.0,0.1,0,55,Riesgo,0,75,Riesgo,E,7,28001
178,2024-08-29 14:00:00,7,28,28,21.0,0.0,0,46,100,0,80,Riesgo,E,5,28001
179,2024-08-29 15:00:00,7,29,29,35.0,0.0,0,42,Riesgo,0,80,Riesgo,S,8,28001
180,2024-08-29 16:00:00,0,27,27,37.0,0.0,0,49,Riesgo,0,80,Riesgo,S,21,28001
181,2024-08-29 17:00:00,5,26,26,30.0,0.0,0,47,Riesgo,0,80,Riesgo,S,22,28001
182,2024-08-29 18:00:00,7,27,27,30.0,0.0,0,42,Riesgo,0,80,Riesgo,S,15,28001
183,2024-08-29 19:00:00,6,25,25,21.0,0.8,0,46,Riesgo,0,80,Riesgo,S,16,28001
184,2024-08-29 20:00:00,1,23,23,18.0,0.0,0,68,80,0,70,Riesgo,NE,12,28001
185,2024-08-29 21:00:00,7,22,22,24.0,0.0,0,77,Riesgo,0,70,Riesgo,N,9,28001
186,2024-08-29 22:00:00,15,21,21,38.0,6.0,0,88,Riesgo,0,70,Riesgo,N,9,28001
187,2024-08-29 23:00:00,1,20,20,38.0,0.0,0,96,Riesgo,0,70,Riesgo,NE,17,28001
188,2024-08-30 00:00:00,5,19,19,36.0,0.0,0,97,Riesgo,0,70,Sin riesgo,E,10,28001
189,2024-08-30 01:00:00,4,19,19,22.0,0.0,0,97,Riesgo,0,70,Sin riesgo,E,18,28001
190,2024-08-30 02:00:00,5,18,18,29.0,0.0,0,100,15,0,15,Sin riesgo,NE,15,28001
191,2024-08-30 03:00:00,3,18,18,24.0,0.0,0,100,15,0,15,Sin riesgo,N,19,28001
192,2024-08-30 04:00:00,1,18,18,18.0,0.0,0,100,15,0,15,Sin riesgo,NE,15,28001
193,2024-08-30 05:00:00,4,18,18,19.0,0.0,0,100,15,0,15,Sin riesgo,NE,12,28001
194,2024-08-30 06:00:00,3,18,18,21.0,0.0,0,100,Riesgo,0,15,Sin riesgo,NE,13,28001
195,2024-08-30 07:00:00,5,18,18,15.0,0.0,0,100,Riesgo,0,15,Sin riesgo,NE,14,28001
196,2024-08-30 08:00:00,7,17,17,23.0,0.0,0,100,25,0,25,Riesgo,NE,9,28001
197,2024-08-30 09:00:00,1,20,20,16.0,0.0,0,94,Riesgo,0,25,Riesgo,NE,14,28001
198,2024-08-30 10:00:00,7,22,22,30.0,0.0,0,85,Riesgo,0,25,Riesgo,NE,8,28001
199,2024-08-30 11:00:00,1,24,24,35.0,0.0,0,77,Riesgo,0,25,Riesgo,SE,20,28001
200,2024-08-30 12:00:00,0,26,26,34.0,0.0,0,58,Riesgo,0,25,Riesgo,E,23,28001
201,2024-08-30 13:00:00,0,27,28,31.0,0.0,0,56,Riesgo,0,25,Riesgo,NO,22,28001
202,2024-08-30 14:00:00,1,28,29,25.0,0.0,0,51,60,0,60,Riesgo,N,15,28001
203,2024-08-30 15:00:00,7,29,30,19.0,0.0,0,56,Riesgo,0,60,Riesgo,NE,14,28001
204,2024-08-30 16:00:00,6,30,31,20.0,0.1,0,50,Riesgo,0,60,Sin riesgo,NE,10,28001
205,2024-08-30 17:00:00,7,31,33,14.0,0.0,0,52,Riesgo,0,60,Sin riesgo,NE,10,28001
206,2024-08-30 18:00:00,5,28,29,16.0,0.0,0,52,Riesgo,0,60,Sin riesgo,E,7,28001
207,2024-08-30 19:00:00,4,26,26,17.0,0.0,0,60,Riesgo,0,60,Sin riesgo,NE,9,28001
208,2024-08-30 20:00:00,5,24,24,9.0,0.0,0,75,25,0,25,Sin riesgo,NE,9,28001
209,2024-08-30 21:00:00,5,23,23,12.0,0.0,0,85,25,0,25,Sin riesgo,NE,6,28001
210,2024-08-30 22:00:00,5,22,22,14.0,0.0,0,90,25,0,25,Sin riesgo,NE,8,28001
211,2024-08-30 23:00:00,7,21,21,15.0,0.0,0,91,25,0,25,Sin riesgo,E,10,28001
212,2024-08-31 00:00:00,1,21,21,10.0,0.0,0,85,25,0,25,Sin riesgo,N,8,28001
213,2024-08-31 01:00:00,1,20,20,9.0,0.0,0,83,25,0,25,Sin riesgo,N,6,28001
214,2024-08-31 02:00:00,3,19,19,11.0,0.0,0,85,10,0,10,Sin riesgo,NE,3,28001
215,2024-08-31 03:00:00,5,19,19,14.0,0.0,0,92,10,0,10,Sin riesgo,O,2,28001
216,2024-08-31 04:00:00,4,18,18,13.0,0.0,0,91,10,0,10,Sin riesgo,NE,8,28001
217,2024-08-31 05:00:00,4,17,17,12.0,0.0,0,99,10,0,10,Sin riesgo,NE,9,28001
218,2024-08-31 06:00:00,5,17,17,10.0,0.0,0,96,10,0,10,Sin riesgo,E,5,28001
219,2024-08-31 07:00:00,3,17,17,10.0,0.0,0,93,10,0,10,Sin riesgo,E,7,28001
220,2024-08-29 12:00:00,8,23,23,16.0,0.1,0,65,95,0,70,Riesgo,E,9,28001
221,2024-08-29 13:00:00,8,25,25,19.0,0.1,0,59,Riesgo,0,70,Riesgo,NE,8,28001
222,2024-08-29 14:00:00,1,27,28,21.0,0.0,0,52,100,0,75,Riesgo,E,7,28001
223,2024-08-29 15:00:00,0,27,27,13.0,0.0,0,49,Riesgo,0,75,Riesgo,S,10,28001
224,2024-08-29 16:00:00,2,28,28,50.0,1.0,0,43,Riesgo,0,75,Riesgo,SO,5,28001
225,2024-08-29 17:00:00,2,27,28,9.0,1.0,0,61,Riesgo,0,75,Riesgo,S,31,28001
226,2024-08-29 18:00:00,0,25,25,61.0,0.0,0,65,Riesgo,0,75,Riesgo,NO,4,28001
227,2024-08-29 19:00:00,3,24,24,24.0,0.0,0,51,Riesgo,0,75,Riesgo,NO,24,28001
228,2024-08-29 20:00:00,7,22,22,19.0,0.0,0,62,80,0,65,Riesgo,NO,15,28001
229,2024-08-29 21:00:00,0,21,21,21.0,0.0,0,68,Riesgo,0,65,Riesgo,N,12,28001
230,2024-08-29 22:00:00,4,21,21,22.0,0.0,0,82,Riesgo,0,65,Riesgo,NE,12,28001
231,2024-08-29 23:00:00,13,21,21,23.0,0.1,0,82,Riesgo,0,65,Riesgo,N,14,28001
232,2024-08-30 00:00:00,7,20,20,16.0,0.0,0,86,Riesgo,0,65,Sin riesgo,N,14,28001
233,2024-08-30 01:00:00,6,20,20,24.0,0.1,0,89,Riesgo,0,65,Sin riesgo,N,10,28001
234,2024-08-30 02:00:00,5,19,19,34.0,0.0,0,88,20,0,20,Sin riesgo,N,15,28001
235,2024-08-30 03:00:00,1,19,19,27.0,0.0,0,87,20,0,20,Sin riesgo,N,18,28001
236,2024-08-30 04:00:00,7,19,19,23.0,0.0,0,89,20,0,20,Sin riesgo,NE,17,28001
237,2024-08-30 05:00:00,3,19,19,24.0,0.0,0,89,20,0,20,Sin riesgo,NE,14,28001
238,2024-08-30 06:00:00,4,19,19,25.0,0.0,0,90,Riesgo,0,20,Sin riesgo,NE,15,28001
239,2024-08-30 07:00:00,4,18,18,19.0,0.0,0,95,Riesgo,0,20,Sin riesgo,NE,15,28001
240,2024-08-30 08:00:00,7,18,18,23.0,0.0,0,99,20,0,20,Riesgo,N,11,28001
241,2024-08-30 09:00:00,7,20,20,17.0,0.0,0,89,Riesgo,0,20,Riesgo,NE,14,28001
242,2024-08-30 10:00:00,7,22,22,34.0,0.0,0,83,Riesgo,0,20,Riesgo,E,10,28001
243,2024-08-30 11:00:00,7,24,24,14.0,0.0,0,75,Riesgo,0,20,Riesgo,SE,21,28001
244,2024-08-30 12:00:00,7,25,25,30.0,0.0,0,67,Riesgo,0,20,Riesgo,S,3,28001
245,2024-08-30 13:00:00,0,26,26,31.0,0.0,0,56,Riesgo,0,20,Riesgo,C,0,28001
